ID,Intersect
ID763,0.0
ID762,0.0
ID705,0.0
ID704,0.0
ID703,0.0
ID761,0.0
ID760,0.0
ID759,0.0
ID702,0.0
ID758,0.0
ID701,0.0
ID644,0.0
ID645,0.0
ID643,0.0
ID700,0.0
ID757,0.0
ID813,0.0
ID814,0.0
ID815,0.0
ID871,0.0
ID872,0.0
ID870,0.0
ID927,0.0
ID928,0.0
ID984,0.0
ID985,0.0
ID929,0.0
ID986,0.0
ID873,0.0
ID930,0.0
ID987,0.0
ID931,0.0
ID988,0.0
ID874,0.0
ID817,0.0
ID816,0.0
ID818,0.0
ID819,0.0
ID875,0.0
ID876,0.0
ID877,0.0
ID820,0.0
ID821,0.0
ID822,0.0
ID879,0.0
ID878,0.0
ID934,0.0
ID935,0.0
ID936,0.0
ID993,0.0
ID992,0.0
ID991,0.0
ID990,0.0
ID933,0.0
ID932,0.0
ID989,897.8316062052166
ID1045,0.0
ID1046,0.0
ID1047,0.0
ID1048,0.0
ID1049,0.0
ID1050,0.0
ID1105,0.0
ID1106,0.0
ID1107,0.0
ID1163,0.0
ID1164,0.0
ID1162,0.0
ID1161,0.0
ID1104,0.0
ID1103,0.0
ID1102,0.0
ID1159,0.0
ID1160,0.0
ID1158,0.0
ID1101,0.0
ID1157,0.0
ID1100,0.0
ID1043,0.0
ID1044,0.0
ID1042,0.0
ID1041,0.0
ID1098,0.0
ID1099,0.0
ID1156,0.0
ID1155,0.0
ID1154,0.0
ID1153,0.0
ID1097,0.0
ID1096,0.0
ID1040,0.0
ID1039,0.0
ID1095,0.0
ID1038,0.0
ID1152,0.0
ID1151,0.0
ID1094,0.0
ID1150,0.0
ID1093,0.0
ID1036,0.0
ID1037,0.0
ID980,0.0
ID979,0.0
ID981,0.0
ID982,0.0
ID983,0.0
ID926,0.0
ID925,0.0
ID924,0.0
ID868,0.0
ID867,0.0
ID869,0.0
ID812,0.0
ID811,0.0
ID810,0.0
ID866,0.0
ID809,0.0
ID808,0.0
ID865,0.0
ID922,0.0
ID923,0.0
ID978,0.0
ID921,0.0
ID977,0.0
ID920,0.0
ID976,0.0
ID919,0.0
ID864,0.0
ID863,0.0
ID862,0.0
ID807,0.0
ID806,0.0
ID805,0.0
ID861,0.0
ID804,0.0
ID918,0.0
ID975,0.0
ID1032,0.0
ID1089,0.0
ID1033,0.0
ID1090,0.0
ID1034,0.0
ID1035,0.0
ID1091,0.0
ID1092,0.0
ID1149,0.0
ID1148,0.0
ID1147,0.0
ID1146,0.0
ID1202,0.0
ID1203,0.0
ID1259,0.0
ID1260,0.0
ID1204,0.0
ID1261,0.0
ID1205,0.0
ID1206,0.0
ID1207,0.0
ID1263,0.0
ID1264,0.0
ID1262,0.0
ID1318,0.0
ID1319,0.0
ID1320,0.0
ID1321,0.0
ID1377,0.0
ID1378,0.0
ID1376,0.0
ID1375,0.0
ID1317,0.0
ID1374,0.0
ID1316,0.0
ID1373,0.0
ID1430,0.0
ID1431,0.0
ID1432,0.0
ID1487,0.0
ID1488,0.0
ID1544,0.0
ID1545,0.0
ID1489,0.0
ID1546,0.0
ID1433,0.0
ID1490,0.0
ID1434,0.0
ID1491,0.0
ID1547,0.0
ID1548,0.0
ID1549,0.0
ID1492,0.0
ID1435,0.0
ID1379,0.0
ID1436,0.0
ID1380,0.0
ID1437,0.0
ID1493,0.0
ID1550,0.0
ID1494,0.0
ID1551,0.0
ID1495,0.0
ID1438,0.0
ID1552,0.0
ID1496,0.0
ID1553,0.0
ID1554,0.0
ID1497,0.0
ID1439,0.0
ID1440,0.0
ID1383,0.0
ID1382,0.0
ID1381,0.0
ID1326,0.0
ID1325,0.0
ID1324,0.0
ID1268,0.0
ID1269,0.0
ID1267,0.0
ID1266,0.0
